video_id,frame_id,timestamp_sec,ear_l,ear_r,ear_avg,det_ok,face_count,face_x,face_y,face_w,face_h,is_closed_manual,manual_source
WIN_20260414_20_42_23_Pro,0,0.0,0.3043478260869565,0.2838854563241673,0.2941166412055619,1,1,245,148,125,125,0,
WIN_20260414_20_42_23_Pro,1,0.0339210799584631,0.2916666666666667,0.3181818181818182,0.3049242424242424,1,1,245,148,125,125,0,
WIN_20260414_20_42_23_Pro,2,0.0678421599169262,0.2916666666666667,0.3040605745675896,0.2978636206171281,1,1,245,148,125,125,0,
WIN_20260414_20_42_23_Pro,3,0.1017632398753894,0.2708333333333333,0.2970288392460059,0.2839310862896696,1,1,245,148,125,125,0,
WIN_20260414_20_42_23_Pro,4,0.1356843198338525,0.3043478260869565,0.3181818181818182,0.3112648221343873,1,1,245,148,125,125,0,
WIN_20260414_20_42_23_Pro,5,0.1696053997923156,0.3043478260869565,0.3056040687932808,0.3049759474401187,1,1,245,148,125,125,0,
WIN_20260414_20_42_23_Pro,6,0.2035264797507788,0.3043478260869565,0.2823419620984761,0.2933448940927163,1,1,245,148,125,125,0,
WIN_20260414_20_42_23_Pro,7,0.2374475597092419,0.2826086956521739,0.2838854563241673,0.2832470759881705,1,1,245,148,125,125,0,
WIN_20260414_20_42_23_Pro,8,0.2713686396677051,0.3043478260869565,0.2954545454545454,0.299901185770751,1,1,245,148,125,125,0,
WIN_20260414_20_42_23_Pro,9,0.3052897196261682,0.2844078851782757,0.2951498084442171,0.2897788468112464,1,1,245,148,125,125,0,
WIN_20260414_20_42_23_Pro,10,0.3392107995846313,0.3058927784795346,0.3071475630189719,0.3065201707492533,1,1,245,148,125,125,0,
WIN_20260414_20_42_23_Pro,11,0.3731318795430945,0.3043478260869565,0.3178536398630031,0.3111007329749798,1,1,245,148,125,125,0,
WIN_20260414_20_42_23_Pro,12,0.4070529595015576,0.2826086956521739,0.2823419620984761,0.282475328875325,1,1,245,148,125,125,0,
WIN_20260414_20_42_23_Pro,13,0.4409740394600208,0.2826086956521739,0.2954545454545454,0.2890316205533597,1,1,245,148,125,125,0,
WIN_20260414_20_42_23_Pro,14,0.4748951194184839,0.2708333333333333,0.3178536398630031,0.2943434865981682,1,1,245,148,125,125,0,
WIN_20260414_20_42_23_Pro,15,0.5088161993769471,0.2826086956521739,0.3214121731844815,0.3020104344183277,1,1,245,148,125,125,0,
WIN_20260414_20_42_23_Pro,16,0.5427372793354102,0.284153648044752,0.3062819560401212,0.2952178020424366,1,1,245,148,125,125,0,
WIN_20260414_20_42_23_Pro,17,0.5766583592938733,0.2826086956521739,0.3074377308721128,0.2950232132621433,1,1,245,148,125,125,0,
WIN_20260414_20_42_23_Pro,18,0.6105794392523365,0.2826086956521739,0.2642183324363447,0.2734135140442593,1,1,245,148,125,125,0,
WIN_20260414_20_42_23_Pro,19,0.6445005192107996,0.284153648044752,0.3056040687932808,0.2948788584190164,1,1,245,148,125,125,0,
WIN_20260414_20_42_23_Pro,20,0.6784215991692627,0.284153648044752,0.3056040687932808,0.2948788584190164,1,1,245,148,125,125,0,
WIN_20260414_20_42_23_Pro,21,0.7123426791277259,0.2826086956521739,0.2951498084442171,0.2888792520481955,1,1,245,148,125,125,0,
WIN_20260414_20_42_23_Pro,22,0.746263759086189,0.2705985391259053,0.2951498084442171,0.2828741737850612,1,1,245,148,125,125,0,
WIN_20260414_20_42_23_Pro,23,0.7801848390446522,0.3043478260869565,0.2970288392460059,0.3006883326664812,1,1,245,148,125,125,0,
WIN_20260414_20_42_23_Pro,24,0.8141059190031152,0.2826086956521739,0.2624208410328536,0.2725147683425137,1,1,245,148,125,125,0,
WIN_20260414_20_42_23_Pro,25,0.8480269989615784,0.2608695652173913,0.2970288392460059,0.2789492022316986,1,1,245,148,125,125,0,
WIN_20260414_20_42_23_Pro,26,0.8819480789200416,0.2823419620984761,0.2838854563241673,0.2831137092113217,1,1,245,148,125,125,0,
WIN_20260414_20_42_23_Pro,27,0.9158691588785048,0.2826086956521739,0.2856829477276583,0.2841458216899161,1,1,245,148,125,125,0,
WIN_20260414_20_42_23_Pro,28,0.9497902388369678,0.2838854563241673,0.2838854563241673,0.2838854563241673,1,1,245,148,125,125,0,
WIN_20260414_20_42_23_Pro,29,0.983711318795431,0.2826086956521739,0.2841394535019672,0.2833740745770705,1,1,245,148,125,125,0,
WIN_20260414_20_42_23_Pro,30,1.0176323987538942,0.2826086956521739,0.3194671514418757,0.3010379235470248,1,1,245,148,125,125,0,
WIN_20260414_20_42_23_Pro,31,1.0515534787123573,0.2823419620984761,0.3194671514418757,0.3009045567701759,1,1,245,148,125,125,0,
WIN_20260414_20_42_23_Pro,32,1.0854745586708203,0.3043478260869565,0.3071475630189719,0.3057476945529642,1,1,245,148,125,125,0,
WIN_20260414_20_42_23_Pro,33,1.1193956386292836,0.284153648044752,0.3197969956831498,0.3019753218639509,1,1,245,148,125,125,0,
WIN_20260414_20_42_23_Pro,34,1.1533167185877466,0.2844078851782757,0.3181818181818182,0.301294851680047,1,1,245,148,125,125,0,
WIN_20260414_20_42_23_Pro,35,1.1872377985462097,0.3043478260869565,0.3043478260869565,0.3043478260869565,1,1,245,148,125,125,0,
WIN_20260414_20_42_23_Pro,36,1.221158878504673,0.3043478260869565,0.3178536398630031,0.3111007329749798,1,1,245,148,125,125,0,
