video_id,frame_id,timestamp,blink_id,is_blink,is_closed,is_valid,nf,le_fc,le_nv,re_fc,re_nv,extra_fields_raw
2,59,3.03606,-1,0,0,1,X,X,X,X,X,239:178:136:121:254:193:279:196:317:196:344:195
2,60,3.06782,-1,0,0,1,X,X,X,X,X,240:178:135:121:254:193:279:196:318:196:344:194
2,61,3.09959,-1,0,0,1,X,X,X,X,X,239:177:135:122:254:193:279:196:317:195:344:194
2,62,3.13117,-1,0,0,1,X,X,X,X,X,239:177:135:122:254:193:279:196:317:195:344:194
2,63,3.16357,-1,0,0,1,X,X,X,X,X,239:178:136:122:254:193:279:195:318:196:345:194
2,64,3.19566,-1,0,0,1,X,X,X,X,X,239:177:136:122:254:192:279:195:318:195:344:193
2,65,3.22761,-1,0,0,1,X,X,X,X,X,239:177:136:122:254:192:279:195:318:195:345:193
2,66,3.25981,-1,0,0,1,X,X,X,X,X,239:177:136:122:254:192:279:195:318:195:345:193
2,67,3.29177,-1,0,0,1,X,X,X,X,X,240:177:135:122:254:192:279:195:318:196:344:194
2,68,3.32358,-1,0,0,1,X,X,X,X,X,238:178:138:132:255:194:279:196:319:196:345:195
2,69,3.35564,-1,0,0,1,X,X,X,X,X,238:177:139:122:254:193:279:196:318:196:345:194
2,70,3.40315,-1,0,0,1,X,X,X,X,X,239:178:139:133:255:194:280:196:319:196:345:195
2,71,3.43586,-1,0,0,1,X,X,X,X,X,240:177:137:122:254:193:280:196:319:196:346:194
2,72,3.46713,-1,0,0,1,X,X,X,X,X,239:176:138:123:255:193:280:195:319:196:345:194
2,73,3.49966,-1,0,0,1,X,X,X,X,X,239:177:137:136:255:192:280:194:319:195:346:194
2,74,3.53669,-1,0,0,1,X,X,X,X,X,240:176:141:132:256:192:281:194:320:195:346:194
2,75,3.56361,-1,0,0,1,X,X,X,X,X,239:176:138:130:256:192:281:194:320:195:346:193
2,76,3.59527,-1,0,0,1,X,X,X,X,X,240:176:138:122:255:192:280:194:319:195:346:193
2,77,3.6367,-1,0,0,1,X,X,X,X,X,240:176:138:122:255:192:280:194:319:195:346:193
2,78,3.65962,-1,0,0,1,X,X,X,X,X,240:177:137:129:255:193:280:195:320:196:346:194
2,79,3.69155,-1,0,0,1,X,X,X,X,X,240:177:136:132:256:193:281:195:319:196:345:195
2,80,3.73625,-1,0,0,1,X,X,X,X,X,240:177:137:121:255:192:280:195:319:196:346:194
2,81,3.75563,-1,0,0,1,X,X,X,X,X,239:177:136:131:255:193:280:194:320:195:346:195
2,82,3.80309,-1,0,0,1,X,X,X,X,X,240:177:140:132:256:193:281:195:320:195:346:194
2,83,3.83805,-1,0,0,1,X,X,X,X,X,239:176:138:122:255:192:281:195:319:195:346:194
2,84,3.86761,-1,0,0,1,X,X,X,X,X,239:177:141:141:256:192:281:194:319:195:346:194
2,85,3.89956,-1,0,0,1,X,X,X,X,X,239:177:144:135:256:193:282:194:319:195:346:194
2,86,3.93139,-1,0,0,1,X,X,X,X,X,239:177:144:135:256:193:282:194:319:195:346:194
2,87,3.96312,-1,0,0,1,X,X,X,X,X,239:177:139:122:255:193:281:196:319:196:346:195
2,88,3.9956,-1,0,0,1,X,X,X,X,X,241:177:135:140:256:194:281:195:319:196:345:196
2,89,4.02712,-1,0,0,1,X,X,X,X,X,240:176:137:122:256:194:281:196:320:197:346:195
2,90,4.05913,-1,0,0,1,X,X,X,X,X,242:176:132:141:256:194:280:195:320:196:345:195
2,91,4.09133,-1,0,0,1,X,X,X,X,X,239:176:144:130:256:194:281:195:320:196:346:195
2,92,4.12306,-1,0,0,1,X,X,X,X,X,239:176:144:129:256:194:281:195:320:196:346:195
2,93,4.15568,-1,0,0,1,X,X,X,X,X,240:176:144:131:256:194:282:195:320:196:346:195
2,94,4.18704,-1,0,0,1,X,X,X,X,X,240:177:139:137:256:195:281:196:320:196:345:196
2,95,4.23534,-1,0,0,1,X,X,X,X,X,240:177:137:121:255:195:281:197:319:197:346:196
2,96,4.26751,-1,0,0,1,X,X,X,X,X,240:177:137:121:255:195:281:197:319:197:346:196
2,97,4.29958,-1,0,0,1,X,X,X,X,X,240:177:137:122:255:195:280:197:319:197:346:196
2,98,4.33154,-1,0,0,1,X,X,X,X,X,239:177:143:132:256:195:281:196:320:198:346:197
2,99,4.36347,-1,0,0,1,X,X,X,X,X,240:177:137:122:255:194:281:197:319:197:346:196
2,100,4.39562,-1,0,0,1,X,X,X,X,X,239:176:139:122:255:194:281:196:320:197:346:195
2,101,4.42709,-1,0,0,1,X,X,X,X,X,239:176:139:122:255:194:281:196:320:197:346:195
2,102,4.45908,-1,0,0,1,X,X,X,X,X,240:176:140:131:257:194:281:196:320:197:346:196
2,103,4.49152,-1,0,0,1,X,X,X,X,X,240:176:141:133:256:194:281:196:320:196:346:196
2,104,4.52305,-1,0,0,1,X,X,X,X,X,240:177:141:130:256:194:281:196:320:197:346:195
2,105,4.55573,-1,0,0,1,X,X,X,X,X,240:177:137:122:255:194:281:196:320:197:346:196
2,106,4.58761,-1,0,0,1,X,X,X,X,X,239:177:137:122:255:194:281:197:319:197:346:196
2,107,4.63502,-1,0,0,1,X,X,X,X,X,239:177:138:122:255:195:281:197:320:198:346:197
